name,commit,solver,CVE,NDeps,Status,Time
axon,1e9a6bc,audit fix force,0.0,2.0,success,
axon,1e9a6bc,maxnpm_cve_oldness,0.0,2.0,success,
axon,1e9a6bc,maxnpm_cve_oldness_pip_else_npm,0.0,2.0,success,
yaml-language-server,10d1d22,vanilla,0.0,44.0,success,
yaml-language-server,10d1d22,audit fix,0.0,44.0,success,
yaml-language-server,10d1d22,audit fix force,0.0,44.0,success,
yaml-language-server,10d1d22,maxnpm_cve_oldness,,,missing,
yaml-language-server,10d1d22,maxnpm_cve_oldness_pip_else_npm,,,missing,
npm,00227de,vanilla,145.05,102.0,success,
npm,00227de,audit fix,145.05,102.0,success,
npm,00227de,audit fix force,145.05,102.0,success,
npm,00227de,maxnpm_cve_oldness,,,missing,
npm,00227de,maxnpm_cve_oldness_pip_else_npm,137.55,65.0,success,
broccoli-stew,01ec03f,vanilla,7.5,81.0,success,
broccoli-stew,01ec03f,audit fix,7.5,81.0,success,
broccoli-stew,01ec03f,audit fix force,0.0,106.0,success,
broccoli-stew,01ec03f,maxnpm_cve_oldness,0.0,84.0,success,
broccoli-stew,01ec03f,maxnpm_cve_oldness_pip_else_npm,,,missing,
matrix-js-sdk,5d95398,vanilla,0.0,69.0,success,
matrix-js-sdk,5d95398,audit fix,0.0,69.0,success,
matrix-js-sdk,5d95398,audit fix force,0.0,69.0,success,
matrix-js-sdk,5d95398,maxnpm_cve_oldness,0.0,65.0,success,
matrix-js-sdk,5d95398,maxnpm_cve_oldness_pip_else_npm,0.0,56.0,success,
pa11y,4b64858,vanilla,6.5,56.0,success,
pa11y,4b64858,audit fix,6.5,56.0,success,
pa11y,4b64858,audit fix force,0.0,75.0,success,
pa11y,4b64858,maxnpm_cve_oldness,0.0,68.0,success,
pa11y,4b64858,maxnpm_cve_oldness_pip_else_npm,6.5,56.0,success,
script-ext-html-webpack-plugin,33406ad,vanilla,0.0,2.0,success,
script-ext-html-webpack-plugin,33406ad,audit fix,0.0,2.0,success,
script-ext-html-webpack-plugin,33406ad,audit fix force,0.0,2.0,success,
script-ext-html-webpack-plugin,33406ad,maxnpm_cve_oldness,0.0,2.0,success,
script-ext-html-webpack-plugin,33406ad,maxnpm_cve_oldness_pip_else_npm,0.0,2.0,success,
wrap-words,9904ddd,vanilla,0.0,2.0,success,
wrap-words,9904ddd,audit fix,0.0,2.0,success,
wrap-words,9904ddd,audit fix force,0.0,2.0,success,
wrap-words,9904ddd,maxnpm_cve_oldness,0.0,2.0,success,
wrap-words,9904ddd,maxnpm_cve_oldness_pip_else_npm,0.0,2.0,success,
nst,00227de,vanilla,145.05,102.0,success,
nst,00227de,audit fix,145.05,102.0,success,
nst,00227de,audit fix force,145.05,102.0,success,
nst,00227de,maxnpm_cve_oldness,,,missing,
nst,00227de,maxnpm_cve_oldness_pip_else_npm,137.55,65.0,success,
api-schema-builder,03de0f8,vanilla,5.3,81.0,success,
api-schema-builder,03de0f8,audit fix,5.3,81.0,success,
api-schema-builder,03de0f8,audit fix force,0.0,80.0,success,
api-schema-builder,03de0f8,maxnpm_cve_oldness,,,missing,
api-schema-builder,03de0f8,maxnpm_cve_oldness_pip_else_npm,,,missing,
koa-views,0d60757,vanilla,0.0,14.0,success,
koa-views,0d60757,audit fix,0.0,14.0,success,
koa-views,0d60757,audit fix force,0.0,14.0,success,
koa-views,0d60757,maxnpm_cve_oldness,0.0,14.0,success,
koa-views,0d60757,maxnpm_cve_oldness_pip_else_npm,0.0,14.0,success,
lasso,0566213,vanilla,,,missing,
lasso,0566213,audit fix,,,missing,
lasso,0566213,audit fix force,,,missing,
lasso,0566213,maxnpm_cve_oldness,,,missing,
lasso,0566213,maxnpm_cve_oldness_pip_else_npm,,,missing,
node-googlemaps,acf0f74,vanilla,32.4,17.0,success,
node-googlemaps,acf0f74,audit fix,32.4,17.0,success,
node-googlemaps,acf0f74,audit fix force,0.0,57.0,success,
node-googlemaps,acf0f74,maxnpm_cve_oldness,0.0,53.0,success,
node-googlemaps,acf0f74,maxnpm_cve_oldness_pip_else_npm,32.4,14.0,success,
nodecg-io,0447129,vanilla,0.0,8.0,success,
nodecg-io,0447129,audit fix,0.0,8.0,success,
nodecg-io,0447129,audit fix force,0.0,8.0,success,
nodecg-io,0447129,maxnpm_cve_oldness,0.0,8.0,success,
nodecg-io,0447129,maxnpm_cve_oldness_pip_else_npm,0.0,8.0,success,
postman-request,03d903b,vanilla,86.25,52.0,success,
postman-request,03d903b,audit fix,86.25,52.0,success,
postman-request,03d903b,audit fix force,0.0,63.0,success,
postman-request,03d903b,maxnpm_cve_oldness,0.0,63.0,success,
postman-request,03d903b,maxnpm_cve_oldness_pip_else_npm,86.25,50.0,success,
react-popover,0521902,vanilla,0.0,2.0,success,
react-popover,0521902,audit fix,0.0,2.0,success,
react-popover,0521902,audit fix force,0.0,2.0,success,
react-popover,0521902,maxnpm_cve_oldness,0.0,2.0,success,
react-popover,0521902,maxnpm_cve_oldness_pip_else_npm,0.0,2.0,success,
create-kry-umi,00353d0,vanilla,33.2,481.0,success,
create-kry-umi,00353d0,audit fix,33.2,481.0,success,
create-kry-umi,00353d0,audit fix force,0.0,167.0,success,
create-kry-umi,00353d0,maxnpm_cve_oldness,,,missing,
create-kry-umi,00353d0,maxnpm_cve_oldness_pip_else_npm,,,missing,
ansi-slice,6867f8a,vanilla,44.400000000000006,4.0,success,
ansi-slice,6867f8a,audit fix,44.400000000000006,4.0,success,
ansi-slice,6867f8a,audit fix force,0.0,4.0,success,
ansi-slice,6867f8a,maxnpm_cve_oldness,0.0,4.0,success,
ansi-slice,6867f8a,maxnpm_cve_oldness_pip_else_npm,44.400000000000006,4.0,success,
postcss-lh,0d1c1d2,vanilla,5.3,12.0,success,
postcss-lh,0d1c1d2,audit fix,5.3,12.0,success,
postcss-lh,0d1c1d2,audit fix force,0.0,4.0,success,
postcss-lh,0d1c1d2,maxnpm_cve_oldness,0.0,4.0,success,
postcss-lh,0d1c1d2,maxnpm_cve_oldness_pip_else_npm,5.3,12.0,success,
hyper-client-superagent,4c1c7c2,vanilla,29.9,28.0,success,
hyper-client-superagent,4c1c7c2,audit fix,29.9,28.0,success,
hyper-client-superagent,4c1c7c2,audit fix force,29.9,28.0,success,
hyper-client-superagent,4c1c7c2,maxnpm_cve_oldness,,,missing,
hyper-client-superagent,4c1c7c2,maxnpm_cve_oldness_pip_else_npm,,,missing,
blockexplorer-rpc,6844ef3,vanilla,21.45,95.0,success,
blockexplorer-rpc,6844ef3,audit fix,21.45,95.0,success,
blockexplorer-rpc,6844ef3,audit fix force,0.0,71.0,success,
blockexplorer-rpc,6844ef3,maxnpm_cve_oldness,0.0,56.0,success,
blockexplorer-rpc,6844ef3,maxnpm_cve_oldness_pip_else_npm,19.45,89.0,success,
webpack-hot-server-middleware,0c08f55,vanilla,0.0,7.0,success,
webpack-hot-server-middleware,0c08f55,audit fix,0.0,7.0,success,
webpack-hot-server-middleware,0c08f55,audit fix force,0.0,7.0,success,
webpack-hot-server-middleware,0c08f55,maxnpm_cve_oldness,,,missing,
webpack-hot-server-middleware,0c08f55,maxnpm_cve_oldness_pip_else_npm,,,missing,
cliss,92c3d73,vanilla,5.3,27.0,success,
cliss,92c3d73,audit fix,5.3,27.0,success,
cliss,92c3d73,audit fix force,0.0,26.0,success,
cliss,92c3d73,maxnpm_cve_oldness,5.3,25.0,success,
cliss,92c3d73,maxnpm_cve_oldness_pip_else_npm,5.3,25.0,success,
egg,02b02e0,vanilla,7.5,310.0,success,
egg,02b02e0,audit fix,7.5,310.0,success,
egg,02b02e0,audit fix force,0.0,302.0,success,
egg,02b02e0,maxnpm_cve_oldness,,,missing,
egg,02b02e0,maxnpm_cve_oldness_pip_else_npm,7.5,206.0,success,
3Dmol.js,1cc27de,vanilla,0.0,285.0,success,
3Dmol.js,1cc27de,audit fix,0.0,285.0,success,
3Dmol.js,1cc27de,audit fix force,0.0,285.0,success,
3Dmol.js,1cc27de,maxnpm_cve_oldness,0.0,211.0,success,
3Dmol.js,1cc27de,maxnpm_cve_oldness_pip_else_npm,0.0,211.0,success,
vanilla-extract,03ba653,vanilla,20.3,1058.0,success,
vanilla-extract,03ba653,audit fix,20.3,1058.0,success,
vanilla-extract,03ba653,audit fix force,27.8,1059.0,success,
vanilla-extract,03ba653,maxnpm_cve_oldness,,,missing,
vanilla-extract,03ba653,maxnpm_cve_oldness_pip_else_npm,,,missing,
ergo,54e3af2,vanilla,10.399999999999999,87.0,success,
ergo,54e3af2,audit fix,10.399999999999999,87.0,success,
ergo,54e3af2,audit fix force,10.399999999999999,87.0,success,
ergo,54e3af2,maxnpm_cve_oldness,10.399999999999999,74.0,success,
